domain,external_source_linked_from_wikipedia_article
ABCnews.com.co,
denverguardian.com,https://www.denverpost.com/2016/11/05/there-is-no-such-thing-as-the-denver-guardian/
RealTrueNews.com,
Bloomberg.ma,
cnn-trending.com,
endingthefed.com,
conservativedailypost.com,https://www.politifact.com/factchecks/2018/feb/19/conservative-daily-post/no-trump-did-not-declare-george-soros-security-thr/
SubjectPolitics.com,
yournewswire.com,
NationalReport.net,https://www.npr.org/sections/alltechconsidered/2016/11/23/503146770/npr-finds-the-head-of-a-covert-fake-news-operation-in-the-suburbs
USAToday.com.co,https://www.npr.org/sections/alltechconsidered/2016/11/23/503146770/npr-finds-the-head-of-a-covert-fake-news-operation-in-the-suburbs
WashingtonPost.com.co,https://www.npr.org/sections/alltechconsidered/2016/11/23/503146770/npr-finds-the-head-of-a-covert-fake-news-operation-in-the-suburbs
newsexaminer.net,https://www.google.com/search?hl=en&q=%22News+Examiner%22+fake
MediaFetcher.com,
huzlers.com,
70news.wordpress.com,https://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/2/
ChristianTimesNewspaper.com,
kmt11.com,